deck,ev_farmer_X,std_X,std_XYZ,sharpe_X,sharpe_XYZ,kelly_f,max_ratio,kelly_log_growth,kelly_growth,winrate_X,nonpair_win_X,pair_win_X,twoFarmers,threeFarmers,joint_m1_m1_m1,joint_m1_m1_1,joint_m1_m1_2,joint_m1_1_m1,joint_m1_1_1,joint_m1_1_2,joint_m1_2_m1,joint_m1_2_1,joint_m1_2_2,joint_1_m1_m1,joint_1_m1_1,joint_1_m1_2,joint_1_1_m1,joint_1_1_1,joint_1_1_2,joint_1_2_m1,joint_1_2_1,joint_1_2_2,joint_2_m1_m1,joint_2_m1_1,joint_2_m1_2,joint_2_1_m1,joint_2_1_1,joint_2_1_2,joint_2_2_m1,joint_2_2_1,joint_2_2_2,prob_from_first,farmerWinWeight_X,farmerWinWeight_Y,farmerWinWeight_Z,farmerWinNonPairWeight_X,farmerWinNonPairWeight_Y,farmerWinNonPairWeight_Z,farmerWinPairWeight_X,farmerWinPairWeight_Y,farmerWinPairWeight_Z,-1_-1_-1_Weight,-1_-1_1_Weight,-1_-1_2_Weight,-1_1_-1_Weight,-1_1_1_Weight,-1_1_2_Weight,-1_2_-1_Weight,-1_2_1_Weight,-1_2_2_Weight,1_-1_-1_Weight,1_-1_1_Weight,1_-1_2_Weight,1_1_-1_Weight,1_1_1_Weight,1_1_2_Weight,1_2_-1_Weight,1_2_1_Weight,1_2_2_Weight,2_-1_-1_Weight,2_-1_1_Weight,2_-1_2_Weight,2_1_-1_Weight,2_1_1_Weight,2_1_2_Weight,2_2_-1_Weight,2_2_1_Weight,2_2_2_Weight,totalDeals
00444444,0.0307422046552481,1.16758551431056,0.809444050247159,0.0263297242715457,0.0379794065394157,0.0157254752815014,0.0314684239641258,0.0723806765739988,0.0724068777068431,0.454670932931802,0.333270594140159,0.121400338791643,0.45173114526998,0.191184463522598,0.27890280999717,0.0499439717638668,0.0398447098137501,0.0499439717638668,0.0495254514907227,0.0146710002679851,0.0398447098137501,0.0146710002679851,0.00798144188910106,0.0499439717638668,0.0495254514907227,0.0146710002679851,0.0495254514907227,0.103905738149916,0.0226506486837622,0.0146710002679851,0.0226506486837622,0.00572668334143634,0.0398447098137501,0.0146710002679851,0.00798144188910106,0.0146710002679851,0.0226506486837622,0.00572668334143634,0.00798144188910106,0.00572668334143634,0.00214672929708601,9.50723976307959e-08,842681160,842681160,842681160,617679360,617679360,617679360,225001800,225001800,225001800,516914820,92565504,73847664,92565504,91789824,27191040,73847664,27191040,14792700,92565504,91789824,27191040,91789824,192577536,41980416,27191040,41980416,10613760,73847664,27191040,14792700,27191040,41980416,10613760,14792700,10613760,3978720,1853386920
01344444,0.0236056214317084,1.15566098717059,0.804658017465382,0.0204260779707567,0.0293362160313325,0.012201938985057,0.0244185505400439,0.0431457111832529,0.0431550202839982,0.455784553610641,0.343748039400213,0.112036514210427,0.453543666964047,0.193564580675901,0.279754586808026,0.0517837775611366,0.0371168045148392,0.0517837775611366,0.0520480720776858,0.01393027636129,0.0371168045148392,0.01393027636129,0.00675107062911613,0.0517837775611366,0.0520480720776858,0.01393027636129,0.0520480720776858,0.111068028903538,0.0219849916713559,0.01393027636129,0.0219849916713559,0.0049695527148751,0.0371168045148392,0.01393027636129,0.00675107062911613,0.01393027636129,0.0219849916713559,0.0049695527148751,0.00675107062911613,0.0049695527148751,0.00163291861366972,1.52115836209273e-06,844745130,844745130,844745130,637098120,637098120,637098120,207647010,207647010,207647010,518493492,95975376,68791800,95975376,96465216,25818192,68791800,25818192,12512346,95975376,96465216,25818192,96465216,205852032,40746696,25818192,40746696,9210504,68791800,25818192,12512346,25818192,40746696,9210504,12512346,9210504,3026430,1853386920
01434444,0.024609448522492,1.15564004675967,0.805579401764791,0.0212950811037529,0.0305487559247168,0.0126930149117234,0.0254006077978484,0.0467890500802125,0.0467999978636375,0.456286467156032,0.344249952945605,0.112036514210427,0.454430183417934,0.194679318228921,0.280250100178758,0.0513024015514256,0.0371375039163436,0.0513024015514256,0.0520857803399195,0.0138753326261739,0.0371375039163436,0.0138753326261739,0.00674717613740362,0.0513024015514256,0.0520857803399195,0.0138753326261739,0.0520857803399195,0.111899760250817,0.022076452336245,0.0138753326261739,0.022076452336245,0.00497266053868558,0.0371375039163436,0.0138753326261739,0.00674717613740362,0.0138753326261739,0.022076452336245,0.00497266053868558,0.00674717613740362,0.00497266053868558,0.00163221935331237,1.52115836209273e-06,845675370,845675370,845675370,638028360,638028360,638028360,207647010,207647010,207647010,519411870,95083200,68830164,95083200,96535104,25716360,68830164,25716360,12505128,95083200,96535104,25716360,96535104,207393552,40916208,25716360,40916208,9216264,68830164,25716360,12505128,25716360,40916208,9216264,12505128,9216264,3025134,1853386920
01443444,0.024609448522492,1.15564004675967,0.804232645559044,0.0212950811037526,0.0305999124238299,0.012735342668936,0.0254850105302198,0.046945384709335,0.046956405779623,0.456286467156032,0.344249952945605,0.112036514210427,0.455101716159732,0.193126824268297,0.279369138959932,0.0514520950649636,0.0370576198951485,0.0514520950649636,0.0526634211921599,0.0139576640586198,0.0370576198951485,0.0139576640586198,0.00674621465441226,0.0514520950649636,0.0526634211921599,0.0139576640586198,0.0526634211921599,0.110594785032798,0.0219941209037992,0.0139576640586198,0.0219941209037992,0.00497266053868558,0.0370576198951485,0.0139576640586198,0.00674621465441226,0.0139576640586198,0.0219941209037992,0.00497266053868558,0.00674621465441226,0.00497266053868558,0.00163169490804435,1.52115836209273e-06,845675370,845675370,845675370,638028360,638028360,638028360,207647010,207647010,207647010,517779108,95360640,68682108,95360640,97605696,25868952,68682108,25868952,12503346,95360640,97605696,25868952,97605696,204974928,40763616,25868952,40763616,9216264,68682108,25868952,12503346,25868952,40763616,9216264,12503346,9216264,3024162,1853386920
01444344,0.024609448522492,1.15564004675967,0.805396702677384,0.0212950811037526,0.0305556857144837,0.0126986653899977,0.0254118208418615,0.0468100182709286,0.0468209758696659,0.456286467156032,0.344249952945605,0.112036514210427,0.454637416994396,0.194415716498096,0.280193732024396,0.0512549295427206,0.0371346874510154,0.0512549295427206,0.0522290510175824,0.013883218729093,0.0371346874510154,0.013883218729093,0.00674507835633155,0.0512549295427206,0.0522290510175824,0.013883218729093,0.0522290510175824,0.111660690904196,0.022068566233326,0.013883218729093,0.022068566233326,0.00497266053868558,0.0371346874510154,0.013883218729093,0.00674507835633155,0.013883218729093,0.022068566233326,0.00497266053868558,0.00674507835633155,0.00497266053868558,0.00163134527786567,1.52115836209273e-06,845675370,845675370,845675370,638028360,638028360,638028360,207647010,207647010,207647010,519307398,94995216,68824944,94995216,96800640,25730976,68824944,25730976,12501240,94995216,96800640,25730976,96800640,206950464,40901592,25730976,40901592,9216264,68824944,25730976,12501240,25730976,40901592,9216264,12501240,9216264,3023514,1853386920
01444434,0.0251113620678838,1.15562924942491,0.807089303432784,0.021729600631327,0.0311134864024062,0.0129032821650228,0.0258205765715369,0.0485343596490543,0.0485461394750643,0.456537423928728,0.344500909718301,0.112036514210427,0.455788448102353,0.195727082178825,0.281903258494994,0.0502302541338751,0.0372058436670094,0.0502302541338751,0.0523658988593704,0.0137903336449574,0.0372058436670094,0.0137903336449574,0.00674055582522402,0.0502302541338751,0.0523658988593704,0.0137903336449574,0.0523658988593704,0.112610364165082,0.0221859772270326,0.0137903336449574,0.0221859772270326,0.00497587195662307,0.0372058436670094,0.0137903336449574,0.00674055582522402,0.0137903336449574,0.0221859772270326,0.00497587195662307,0.00674055582522402,0.00497587195662307,0.00163117046277633,1.52115836209273e-06,846140490,846140490,846140490,638493480,638493480,638493480,207647010,207647010,207647010,522475812,93096096,68956824,93096096,97054272,25558824,68956824,25558824,12492858,93096096,97054272,25558824,97054272,208710576,41119200,25558824,41119200,9222216,68956824,25558824,12492858,25558824,41119200,9222216,12492858,9222216,3023190,1853386920
01444443,0.0226017943409248,1.155681055276,0.806539164426149,0.0195571210912747,0.0280231826770693,0.0116257286006688,0.023265105772893,0.0393634484919831,0.0393711969140177,0.455282640065249,0.343246125854822,0.112036514210427,0.454783698376376,0.193967626576322,0.282903404756952,0.0501277218466611,0.0373099104422297,0.0501277218466611,0.0525882118559464,0.0137993333847419,0.0373099104422297,0.0137993333847419,0.00675181197458758,0.0501277218466611,0.0525882118559464,0.0137993333847419,0.0525882118559464,0.11124641799026,0.022066882828762,0.0137993333847419,0.022066882828762,0.00496312987900012,0.0373099104422297,0.0137993333847419,0.00675181197458758,0.0137993333847419,0.022066882828762,0.00496312987900012,0.00675181197458758,0.00496312987900012,0.00163117046277633,1.52115836209273e-06,843814890,843814890,843814890,636167880,636167880,636167880,207647010,207647010,207647010,524329470,92906064,69149700,92906064,97466304,25575504,69149700,25575504,12513720,92906064,97466304,25575504,97466304,206182656,40898472,25575504,40898472,9198600,69149700,25575504,12513720,25575504,40898472,9198600,12513720,9198600,3023190,1853386920
02244444,0.0237624694146433,1.15153805838658,0.804009613449617,0.0206354182057486,0.0295549568278041,0.0123011757946351,0.0246158720656286,0.043787527023925,0.0437971151609576,0.457447142229751,0.348578957274609,0.108868184955141,0.455757072031133,0.196228173445834,0.279643818787714,0.0521004561745801,0.0360992468858041,0.0521004561745801,0.0529185907926878,0.0136240693875189,0.0360992468858041,0.0136240693875189,0.00634290329404073,0.0521004561745801,0.0529185907926878,0.0136240693875189,0.0529185907926878,0.11488485091931,0.0218881786432376,0.0136240693875189,0.0218881786432376,0.00473197253383012,0.0360992468858041,0.0136240693875189,0.00634290329404073,0.0136240693875189,0.0218881786432376,0.00473197253383012,0.00634290329404073,0.00473197253383012,0.0014828689953202,3.42260631470865e-06,847826550,847826550,847826550,646051680,646051680,646051680,201774870,201774870,201774870,518288196,96562304,66905872,96562304,98078624,25250672,66905872,25250672,11755854,96562304,98078624,25250672,98078624,212926080,40567264,25250672,40567264,8770176,66905872,25250672,11755854,25250672,40567264,8770176,11755854,8770176,2748330,1853386920
02334444,0.0202961289917811,1.14744959795742,0.802947802972762,0.0176880352983786,0.025277021640309,0.0105283605693914,0.0210684592226813,0.0320165513015367,0.0320216771463479,0.45730597904511,0.351621808143547,0.105684170901562,0.45597083851223,0.197006903447878,0.28105980482478,0.0524012244566828,0.0352552277643138,0.0524012244566828,0.0537691719546613,0.0132704983155919,0.0352552277643138,0.0132704983155919,0.00601114310227246,0.0524012244566828,0.0537691719546613,0.0132704983155919,0.0537691719546613,0.117613067000602,0.0215209676779202,0.0132704983155919,0.0215209676779202,0.00448624078991558,0.0352552277643138,0.0132704983155919,0.00601114310227246,0.0132704983155919,0.0215209676779202,0.00448624078991558,0.00601114310227246,0.00448624078991558,0.00137221104376845,9.1269501725564e-06,847564920,847564920,847564920,651691260,651691260,651691260,195873660,195873660,195873660,520912566,97119744,65341578,97119744,99655080,24595368,65341578,24595368,11140974,97119744,99655080,24595368,99655080,217982520,39886680,24595368,39886680,8314740,65341578,24595368,11140974,24595368,39886680,8314740,11140974,8314740,2543238,1853386920
02343444,0.0205470857644771,1.1474451315733,0.801510037205384,0.0179068133186495,0.0256354690655124,0.0106969821980291,0.0214056133435404,0.0329313726844421,0.0329367956562465,0.457431457431457,0.351747286529895,0.105684170901562,0.456828607595871,0.195466296913329,0.280000532214828,0.0525555538074047,0.0351680662556958,0.0525555538074047,0.0544043334459272,0.0133534124650022,0.0351680662556958,0.0133534124650022,0.00600961185158251,0.0525555538074047,0.0544043334459272,0.0133534124650022,0.0544043334459272,0.116299933745081,0.0214447482989682,0.0133534124650022,0.0214447482989682,0.00448681055761416,0.0351680662556958,0.0133534124650022,0.00600961185158251,0.0133534124650022,0.0214447482989682,0.00448681055761416,0.00600961185158251,0.00448681055761416,0.00137168659850044,9.1269501725564e-06,847797480,847797480,847797480,651923820,651923820,651923820,195873660,195873660,195873660,518949324,97405776,65180034,97405776,100832280,24749040,65180034,24749040,11138136,97405776,100832280,24749040,100832280,215548776,39745416,24749040,39745416,8315796,65180034,24749040,11138136,24749040,39745416,8315796,11138136,8315796,2542266,1853386920
