deck,ev_farmer_X,std_X,std_XYZ,sharpe_X,sharpe_XYZ,kelly_f,max_ratio,kelly_log_growth,kelly_growth,winrate_X,nonpair_win_X,pair_win_X,twoFarmers,threeFarmers,joint_m1_m1_m1,joint_m1_m1_1,joint_m1_m1_2,joint_m1_1_m1,joint_m1_1_1,joint_m1_1_2,joint_m1_2_m1,joint_m1_2_1,joint_m1_2_2,joint_1_m1_m1,joint_1_m1_1,joint_1_m1_2,joint_1_1_m1,joint_1_1_1,joint_1_1_2,joint_1_2_m1,joint_1_2_1,joint_1_2_2,joint_2_m1_m1,joint_2_m1_1,joint_2_m1_2,joint_2_1_m1,joint_2_1_1,joint_2_1_2,joint_2_2_m1,joint_2_2_1,joint_2_2_2,prob_from_prior,farmerWinWeight_X,farmerWinWeight_Y,farmerWinWeight_Z,farmerWinNonPairWeight_X,farmerWinNonPairWeight_Y,farmerWinNonPairWeight_Z,farmerWinPairWeight_X,farmerWinPairWeight_Y,farmerWinPairWeight_Z,-1_-1_-1_Weight,-1_-1_1_Weight,-1_-1_2_Weight,-1_1_-1_Weight,-1_1_1_Weight,-1_1_2_Weight,-1_2_-1_Weight,-1_2_1_Weight,-1_2_2_Weight,1_-1_-1_Weight,1_-1_1_Weight,1_-1_2_Weight,1_1_-1_Weight,1_1_1_Weight,1_1_2_Weight,1_2_-1_Weight,1_2_1_Weight,1_2_2_Weight,2_-1_-1_Weight,2_-1_1_Weight,2_-1_2_Weight,2_1_-1_Weight,2_1_1_Weight,2_1_2_Weight,2_2_-1_Weight,2_2_1_Weight,2_2_2_Weight,totalDeals
00000044,-0.0571428571428572,1.39269229793759,0.908463605461981,-0.04103049699311,-0.0629005463722425,0,0,0,0,0.314285714285714,0,0.314285714285714,0.385714285714286,0,0.442857142857143,0,0.0571428571428571,0,0,0,0.0571428571428571,0,0.128571428571429,0,0,0,0,0,0,0,0,0,0.0571428571428571,0,0.128571428571429,0,0,0,0.128571428571429,0,0,9.50723976307959e-08,792,792,792,0,0,0,792,792,792,1116,0,144,0,0,0,144,0,324,0,0,0,0,0,0,0,0,0,144,0,324,0,0,0,324,0,0,2520
00000134,0.0785714285714286,1.33666887203577,1.00995891342308,0.0587815204013559,0.077796658385958,0.0263671414428436,0.0529834210940109,0.307856831903623,0.308331197712645,0.407142857142857,0.142857142857143,0.264285714285714,0.357142857142857,0.25,0.385714285714286,0,0.0857142857142857,0,0,0,0.0857142857142857,0,0.0357142857142857,0,0,0,0,0.0571428571428571,0.0285714285714286,0,0.0285714285714286,0.0285714285714286,0.0857142857142857,0,0.0357142857142857,0,0.0285714285714286,0.0285714285714286,0.0357142857142857,0.0285714285714286,0.0214285714285714,1.52115836209273e-06,1026,1026,1026,360,360,360,666,666,666,972,0,216,0,0,0,216,0,90,0,0,0,0,144,72,0,72,72,216,0,90,0,72,72,90,72,54,2520
00000143,0.0785714285714286,1.33666887203577,0.988513967501511,0.0587815204013565,0.0794843888448233,0.027595104599299,0.0554684416285025,0.321935104717929,0.322453872325142,0.407142857142857,0.142857142857143,0.264285714285714,0.335714285714286,0.25,0.364285714285714,0,0.1,0,0,0,0.1,0,0.0285714285714286,0,0,0,0,0.0571428571428571,0.0285714285714286,0,0.0285714285714286,0.0285714285714286,0.1,0,0.0285714285714286,0,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0214285714285714,1.52115836209273e-06,1026,1026,1026,360,360,360,666,666,666,918,0,252,0,0,0,252,0,72,0,0,0,0,144,72,0,72,72,252,0,72,0,72,72,72,72,54,2520
00000224,0.102380952380952,1.30803161736181,0.873686250549414,0.0782710073839391,0.11718274416768,0.044589030092563,0.0882784903528385,0.684674042361156,0.687023293593194,0.430952380952381,0.19047619047619,0.24047619047619,0.5,0.121428571428571,0.328571428571429,0,0.0571428571428571,0,0.0380952380952381,0.019047619047619,0.0571428571428571,0.019047619047619,0.05,0,0.0380952380952381,0.019047619047619,0.0380952380952381,0,0.0380952380952381,0.019047619047619,0.0380952380952381,0,0.0571428571428571,0.019047619047619,0.05,0.019047619047619,0.0380952380952381,0,0.05,0,0.00714285714285714,3.42260631470865e-06,1086,1086,1086,480,480,480,606,606,606,828,0,144,0,96,48,144,48,126,0,96,48,96,0,96,48,96,0,144,48,126,48,96,0,126,0,18,2520
00000233,0.0714285714285714,1.27974806194064,0.878116413338317,0.0558145572185945,0.0813429408032844,0.0311774290478149,0.0622061072478228,0.332905779065038,0.333460525777517,0.428571428571429,0.214285714285714,0.214285714285714,0.471428571428571,0.15,0.335714285714286,0,0.0642857142857143,0,0.0285714285714286,0.0285714285714286,0.0642857142857143,0.0285714285714286,0.0214285714285714,0,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0857142857142857,0,0.0285714285714286,0,0.0142857142857143,0.0642857142857143,0.0285714285714286,0.0214285714285714,0.0285714285714286,0,0.0142857142857143,0.0214285714285714,0.0142857142857143,0.0214285714285714,9.1269501725564e-06,1080,1080,1080,540,540,540,540,540,540,846,0,162,0,72,72,162,72,54,0,72,72,72,216,0,72,0,36,162,72,54,72,0,36,54,36,54,2520
00000242,0.102380952380952,1.3080316173618,0.865472096669429,0.0782710073839397,0.118294919934383,0.0454441131996513,0.0899324308416981,0.697820562854685,0.700261003874893,0.430952380952381,0.19047619047619,0.24047619047619,0.492857142857143,0.121428571428571,0.321428571428571,0,0.0619047619047619,0,0.0380952380952381,0.019047619047619,0.0619047619047619,0.019047619047619,0.0476190476190476,0,0.0380952380952381,0.019047619047619,0.0380952380952381,0,0.0380952380952381,0.019047619047619,0.0380952380952381,0,0.0619047619047619,0.019047619047619,0.0476190476190476,0.019047619047619,0.0380952380952381,0,0.0476190476190476,0,0.00714285714285714,3.42260631470865e-06,1086,1086,1086,480,480,480,606,606,606,810,0,156,0,96,48,156,48,120,0,96,48,96,0,96,48,96,0,156,48,120,48,96,0,120,0,18,2520
00000314,0.0785714285714286,1.33666887203577,0.93146983548678,0.0587815204013565,0.084352091262696,0.0315398977416111,0.0636103746163614,0.366188924623477,0.366860215413463,0.407142857142857,0.142857142857143,0.264285714285714,0.3,0.192857142857143,0.271428571428571,0.0571428571428571,0.0857142857142857,0.0571428571428571,0,0,0.0857142857142857,0,0.0357142857142857,0.0571428571428571,0,0,0,0,0.0285714285714286,0,0.0285714285714286,0.0285714285714286,0.0857142857142857,0,0.0357142857142857,0,0.0285714285714286,0.0285714285714286,0.0357142857142857,0.0285714285714286,0.0214285714285714,1.52115836209273e-06,1026,1026,1026,360,360,360,666,666,666,684,144,216,144,0,0,216,0,90,144,0,0,0,0,72,0,72,72,216,0,90,0,72,72,90,72,54,2520
00000323,0.0714285714285714,1.27974806194064,0.856150218874533,0.0558145572185948,0.0834299517232725,0.0335272170102589,0.0673055782221511,0.355417681110132,0.356050038698643,0.428571428571429,0.214285714285714,0.214285714285714,0.342857142857143,0.192857142857143,0.25,0.0571428571428571,0.0785714285714286,0.0571428571428571,0,0.0142857142857143,0.0785714285714286,0.0142857142857143,0.0214285714285714,0.0571428571428571,0,0.0142857142857143,0,0.0857142857142857,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0785714285714286,0.0142857142857143,0.0214285714285714,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0214285714285714,0.0142857142857143,0.0214285714285714,9.1269501725564e-06,1080,1080,1080,540,540,540,540,540,540,630,144,198,144,0,36,198,36,54,144,0,36,0,216,36,36,36,36,198,36,54,36,36,36,54,36,54,2520
00000332,0.0714285714285714,1.27974806194064,0.833605397765438,0.0558145572185948,0.0856863110772108,0.0354634806039861,0.0711380421402912,0.375720865855966,0.376427581516704,0.428571428571429,0.214285714285714,0.214285714285714,0.385714285714286,0.15,0.25,0.0285714285714286,0.0928571428571429,0.0285714285714286,0.0571428571428571,0,0.0928571428571429,0,0.0214285714285714,0.0285714285714286,0.0571428571428571,0,0.0571428571428571,0,0.0285714285714286,0,0.0285714285714286,0.0142857142857143,0.0928571428571429,0,0.0214285714285714,0,0.0285714285714286,0.0142857142857143,0.0214285714285714,0.0142857142857143,0.0214285714285714,9.1269501725564e-06,1080,1080,1080,540,540,540,540,540,540,630,72,234,72,144,0,234,0,54,72,144,0,144,0,72,0,72,36,234,0,54,0,72,36,54,36,54,2520
00000341,0.0785714285714286,1.33666887203577,0.88963227135221,0.0587815204013566,0.0883189955013697,0.0342315749252318,0.0687325384913979,0.398851392899925,0.399647863627496,0.407142857142857,0.142857142857143,0.264285714285714,0.385714285714286,0.107142857142857,0.271428571428571,0.0571428571428571,0.0571428571428571,0.0571428571428571,0,0.0285714285714286,0.0571428571428571,0.0285714285714286,0.0357142857142857,0.0571428571428571,0,0.0285714285714286,0,0,0,0.0285714285714286,0,0.0285714285714286,0.0571428571428571,0.0285714285714286,0.0357142857142857,0.0285714285714286,0,0.0285714285714286,0.0357142857142857,0.0285714285714286,0.0214285714285714,1.52115836209273e-06,1026,1026,1026,360,360,360,666,666,666,684,144,144,144,0,72,144,72,90,144,0,72,0,0,0,72,0,72,144,72,90,72,0,72,90,72,54,2520
